epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.47,2.22777,4.05217,1.74138,0.36408,0.50084,0.39573,0.16132,1.99954,2.09237,1.71564,0.000369903,0.000369903,0.000369903
2,191.943,2.06237,2.47823,1.65164,0.46876,0.48807,0.44535,0.17903,1.99115,1.94208,1.76823,0.000725579,0.000725579,0.000725579
3,287.308,2.02294,2.14858,1.65366,0.54689,0.54999,0.54645,0.21888,1.92598,1.74459,1.7352,0.00106659,0.00106659,0.00106659
4,375.986,2.00724,2.00654,1.63535,0.59677,0.58491,0.60461,0.24293,1.94875,1.64517,1.73827,0.00104501,0.00104501,0.00104501
5,472.209,1.97499,1.89931,1.63591,0.64423,0.64397,0.66437,0.2738,1.91132,1.50985,1.77579,0.00102301,0.00102301,0.00102301
6,562.474,1.94462,1.79033,1.6113,0.64666,0.6612,0.68133,0.29128,1.90791,1.44143,1.75171,0.00100101,0.00100101,0.00100101
7,652.7,1.93479,1.73367,1.60786,0.63297,0.67562,0.70577,0.29898,1.87424,1.4544,1.71776,0.000979013,0.000979013,0.000979013
8,744.831,1.9256,1.71459,1.597,0.65146,0.65044,0.69431,0.29531,1.84482,1.40646,1.69455,0.000957015,0.000957015,0.000957015
9,834.528,1.91628,1.66632,1.58617,0.72445,0.69622,0.72506,0.32022,1.82111,1.36246,1.6683,0.000935018,0.000935018,0.000935018
10,925.377,1.89518,1.61506,1.58453,0.5882,0.60085,0.6133,0.27456,1.85574,1.52215,1.71931,0.00091302,0.00091302,0.00091302
11,1016.38,1.8964,1.59361,1.56645,0.64546,0.69647,0.70654,0.28728,1.92596,1.40716,1.7059,0.000891022,0.000891022,0.000891022
12,1107.82,1.88032,1.55314,1.56035,0.71608,0.71748,0.73455,0.32101,1.80418,1.34249,1.65342,0.000869024,0.000869024,0.000869024
13,1202.53,1.85367,1.52498,1.53693,0.738,0.7143,0.75855,0.32799,1.83054,1.29287,1.67552,0.000847026,0.000847026,0.000847026
14,1294.42,1.85744,1.51141,1.54093,0.79263,0.72562,0.78332,0.33283,1.8259,1.321,1.66776,0.000825029,0.000825029,0.000825029
15,1385.23,1.85714,1.47855,1.54521,0.78214,0.73616,0.81039,0.35176,1.82741,1.24028,1.67431,0.000803031,0.000803031,0.000803031
16,1479.76,1.84372,1.47043,1.5389,0.76353,0.73274,0.77938,0.34125,1.8262,1.23154,1.67858,0.000781033,0.000781033,0.000781033
17,1572.72,1.83418,1.45695,1.52379,0.75569,0.72724,0.79166,0.3376,1.8375,1.22688,1.66021,0.000759035,0.000759035,0.000759035
18,1664.08,1.83751,1.43065,1.52285,0.79756,0.72471,0.79166,0.355,1.80827,1.21955,1.65234,0.000737037,0.000737037,0.000737037
19,1756.46,1.82604,1.41215,1.52566,0.83675,0.7766,0.83988,0.3652,1.838,1.14678,1.63929,0.00071504,0.00071504,0.00071504
20,1875.69,1.81369,1.39017,1.50602,0.78663,0.76951,0.8144,0.36687,1.8132,1.16484,1.65923,0.000693042,0.000693042,0.000693042
